id,first_name,second_name,total_points,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,form,in_dreamteam,news,news_added,now_cost,photo,points_per_game,selected_by_percent,special,squad_number,status,team,team_code,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index
47,Mathew,Ryan,84,,,131897,0,0,3,-3,0,1,3.7,3.2,3,3.2,False,,,48,131897.jpg,3.8,17.9,False,,a,4,36,1038322,38489,638943,11128,0.7,17.5,Ryan,1980,0,0,5,30,0,0,0,0,0,80,11,466,672.6,0.0,0.0,67.3
48,David,Button,0,,,50093,0,0,0,0,0,1,0.5,0.0,0,0.0,False,,,40,50093.jpg,0.0,19.8,False,,a,4,36,432508,4621,685298,11237,0.0,0.0,Button,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
49,Pascal,Groß,58,,,60307,0,0,-1,1,0,3,2.8,2.3,1,2.3,False,,,64,60307.jpg,3.1,0.5,False,,a,4,36,99391,670,121012,942,0.4,9.1,Groß,1267,1,5,3,19,0,0,0,2,0,0,5,252,280.0,697.5,274.0,125.2
50,Alireza,Jahanbakhsh,19,100.0,100.0,165210,0,0,-2,2,0,3,3.5,3.0,2,3.0,False,,2019-09-19T14:00:12.919069Z,58,165210.jpg,4.8,0.1,False,,a,4,36,8160,837,6584,647,0.5,3.3,Jahanbakhsh,188,2,0,1,1,0,0,0,0,0,0,2,59,76.8,41.6,72.0,19.1
51,José Heriberto,Izquierdo Mena,0,0.0,0.0,167473,0,0,-1,1,0,3,0.0,0.0,0,0.0,False,Knee injury - Unknown return date,2019-06-25T11:30:06.929510Z,54,167473.jpg,0.0,0.0,False,,i,4,36,145,2,239,0,0.0,0.0,Izquierdo,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
52,Anthony,Knockaert,0,0.0,0.0,83543,0,0,-1,1,0,3,0.0,0.0,0,0.0,False,Joined Fulham on loan until the end of the season on 21/7. - Expected back 01 Jul,2019-07-21T20:00:14.555249Z,54,83543.jpg,0.0,0.0,False,,n,4,36,234,2,883,2,0.0,0.0,Knockaert,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
53,Yves,Bissouma,13,100.0,100.0,227127,0,0,0,0,0,3,1.7,1.2,0,1.2,False,,2019-06-25T11:30:06.944296Z,50,227127.jpg,1.3,0.0,False,,a,4,36,1011,33,1008,38,0.2,2.6,Bissouma,402,0,0,1,5,0,0,0,1,0,0,0,65,65.4,61.3,64.0,18.9
54,Davy,Pröpper,45,100.0,100.0,66242,0,0,-1,1,0,3,2.2,1.7,2,1.7,False,,2019-09-29T10:30:09.519275Z,49,66242.jpg,2.4,0.3,False,,a,4,36,84922,238,88416,348,0.3,9.2,Pröpper,1710,1,1,4,26,1,0,0,3,0,0,0,258,305.2,242.8,208.0,75.5
55,Solomon,March,21,100.0,100.0,109345,0,0,-4,4,0,3,0.5,0.0,0,0.0,False,,2019-11-28T14:00:24.105131Z,46,109345.jpg,2.6,0.2,False,,a,4,36,33118,104,56387,111,0.0,4.6,March,598,0,1,2,10,0,0,0,1,0,0,3,88,114.4,141.6,120.0,37.7
56,Beram,Kayal,0,0.0,0.0,38490,0,0,-2,2,0,3,0.0,0.0,0,0.0,False,Joined Charlton Athletic on loan until the end of the season on 8/8. - Expected back 01 Jul,2019-08-08T22:00:09.076501Z,43,38490.jpg,0.0,0.2,False,,n,4,36,33566,89,27086,542,0.0,0.0,Kayal,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
57,Dale,Stephens,42,100.0,100.0,40845,0,0,-1,1,0,3,1.7,1.2,2,1.2,False,,2019-12-08T19:00:17.937527Z,44,40845.jpg,2.1,2.1,False,,a,4,36,178613,1156,241320,2604,0.3,9.5,Stephens,1669,0,1,4,26,0,0,0,5,0,0,1,278,296.4,198.0,77.0,57.1
421,Leandro,Trossard,54,100.0,100.0,116216,0,0,-2,2,1,3,3.0,2.5,2,2.5,False,,2019-11-16T11:00:16.932007Z,58,116216.jpg,3.4,0.4,False,,a,4,36,80043,1353,106787,917,0.4,9.3,Trossard,962,2,5,1,17,0,0,0,0,0,0,3,211,237.2,376.6,284.0,89.5
475,Dan,Burn,47,0.0,0.0,78916,0,0,0,0,0,2,0.0,0.0,0,1.8,False,Shoulder injury - Expected back 22 Feb,2020-01-01T14:30:13.406599Z,45,78916.jpg,2.2,0.2,False,,i,4,36,33647,11,29496,1141,0.4,10.4,Burn,1821,0,0,5,29,0,0,0,3,0,0,0,313,392.4,234.8,98.0,72.5
493,Adam,Webster,51,100.0,100.0,110735,0,0,-1,1,1,2,3.5,3.0,2,3.0,False,,2019-11-02T18:00:16.279714Z,44,110735.jpg,3.0,0.7,False,,a,4,36,77159,4044,37200,1825,0.7,11.6,Webster,1475,3,0,2,24,1,0,0,2,0,0,5,294,405.0,102.3,183.0,69.3
502,Neal,Maupay,81,,,115382,0,0,-2,2,1,4,3.3,2.8,2,2.8,False,,,58,115382.jpg,3.7,2.3,False,,a,4,36,390235,13304,270247,10423,0.5,14.0,Maupay,1626,7,1,5,22,0,0,0,2,0,0,12,229,316.6,196.8,874.0,138.5
516,Aaron,Mooy,41,75.0,75.0,74471,0,0,-2,2,1,3,2.8,2.4,0,3.2,False,Knock - 75% chance of playing,2020-01-09T14:00:18.516961Z,48,74471.jpg,2.7,0.6,False,,d,4,36,62227,735,40840,4579,0.7,8.5,Mooy,1052,1,1,3,16,0,0,0,0,1,0,6,184,232.4,301.1,149.0,68.1
534,Aaron,Connolly,37,100.0,100.0,233425,0,0,-1,1,1,4,1.2,0.7,0,0.7,False,,2019-12-08T18:30:20.976333Z,44,233425.jpg,2.6,1.4,False,,a,4,36,374048,1594,295191,5202,0.2,8.4,Connolly,715,2,2,2,12,0,0,0,0,0,0,3,82,91.0,52.5,319.0,45.4
536,Tudor,Baluta,0,,,213056,0,0,0,0,0,2,0.5,0.0,0,0.0,False,,,40,213056.jpg,0.0,0.2,False,,a,4,36,25083,371,15758,381,0.0,0.0,Baluta,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
537,Steven,Alzate,27,100.0,100.0,235382,0,0,0,0,0,3,1.7,1.2,1,1.2,False,,2019-10-06T11:00:17.795404Z,45,235382.jpg,1.8,0.1,False,,a,4,36,15039,495,8250,363,0.3,6.0,Alzate,964,0,0,3,14,0,0,0,1,0,0,0,152,163.8,182.9,189.0,53.6
546,Ezequiel,Schelotto,4,,,74375,0,0,0,0,0,2,0.7,0.2,0,0.2,False,,,40,74375.jpg,1.0,0.5,False,,a,4,36,57376,703,28196,1199,0.0,1.0,Schelotto,123,0,0,0,4,0,0,0,0,0,0,0,17,10.2,2.7,8.0,1.9
83,Ben,Mee,54,,,51927,0,0,0,0,0,2,2.2,2.2,1,2.7,False,,,50,51927.jpg,2.5,0.8,False,,a,5,90,60390,316,67461,1438,0.5,10.8,Mee,1980,0,0,7,37,0,0,0,3,0,0,0,345,440.6,61.9,224.0,72.8
84,James,Tarkowski,73,100.0,100.0,17761,0,0,1,-1,2,2,2.2,2.2,1,2.7,False,,2019-08-03T18:30:13.047591Z,51,17761.jpg,3.3,3.8,False,,a,5,90,406462,1251,269726,14639,0.5,14.3,Tarkowski,1980,1,2,7,37,0,0,0,5,0,0,9,378,490.8,77.2,270.0,83.8
